belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
"{'id': 64750, 'name': 'Blair Witch Collection', 'poster_path': '/qDQuKJZYLHrs1Ej64tYYFooFxc1.jpg', 'backdrop_path': '/e5GwLq0zBer3SuSJZodcNROnT6Z.jpg'}",5000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",Blair Witch,9,90,4.9,45172994
,6000000,"[{'id': 18, 'name': 'Drama'}]",Bleed for This,11,116,6.7,6174491
,40000000,"[{'id': 35, 'name': 'Comedy'}]",Blended,5,117,6.6,123494610
,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Blindness,5,121,6.4,19844979
,15774948,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Blitz,5,97,6,741875
,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",Blood Diamond,12,143,7.4,170877916
,25500000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Blood Ties,8,128,6,2415472
,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Blood Work,8,110,6.1,26199517
"{'id': 97307, 'name': 'BloodRayne Collection', 'poster_path': '/yDRE2eRQIGKKpW1AJ9WWolmccOQ.jpg', 'backdrop_path': '/tSiYzuDL8i3yyVyCnxGtwLjA3Tz.jpg'}",25000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",BloodRayne,10,95,3.6,2405420
,53000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Blow,4,124,7.4,83282296
,1000000,"[{'id': 18, 'name': 'Drama'}]",Blue Car,1,92,6.7,464000
"{'id': 115839, 'name': 'Blue Crush Collection', 'poster_path': '/kOXDYYj1BsN3hKQ2JYc9aBU7FqZ.jpg', 'backdrop_path': None}",25000000,"[{'id': 12, 'name': 'Adventure'}]",Blue Crush,8,104,5.6,51842679
,18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Blue Jasmine,7,98,7,99206215
,3500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Blue Valentine,12,112,6.9,16566240
,20000000,"[{'id': 35, 'name': 'Comedy'}]",Boat Trip,10,94,4.7,8586376
,70000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Body of Lies,10,128,6.5,113280098
,26000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Boiler Room,2,118,6.5,28780255
,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",Bolt,11,98,6.3,309979994
,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Bones,10,96,4.3,7316658
"{'id': 96937, 'name': 'The Boogeyman Collection', 'poster_path': '/rR4Vga4sQhD4YTF7QtMxkfMvN6F.jpg', 'backdrop_path': '/oVP6PrxHf4D745QJ2Pp8ojSpcqF.jpg'}",20000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",Boogeyman,2,89,4.6,67192859
,18000000,"[{'id': 35, 'name': 'Comedy'}]",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,11,82,6.5,261572744
,350000,"[{'id': 99, 'name': 'Documentary'}]",Born into Brothels,12,85,6.7,3515061
,5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Bottle Shock,8,110,6.6,4040588
,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Bounce,11,106,5.5,36779296
,4000000,"[{'id': 99, 'name': 'Documentary'}]",Bowling for Columbine,10,120,7.3,35564473
,3,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Boy,2,87,7.5,43
,500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Boy Culture,1,88,6,220151
,4000000,"[{'id': 18, 'name': 'Drama'}]",Boyhood,6,164,7.5,44349000
,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Boys and Girls,6,94,5.4,20627372
,7,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",Bran Nue Dae,8,82,5.2,7
,185000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",Brave,6,93,6.7,538983207
,475000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",Brick,1,110,6.8,3919254
,28000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Brick Mansions,4,90,5.7,68896829
,6400000,"[{'id': 18, 'name': 'Drama'}]",Bride Flight,10,130,6.9,2556911
,30000000,"[{'id': 35, 'name': 'Comedy'}]",Bride Wars,1,89,5.9,114663461
,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Brideshead Revisited,7,133,6.2,13204291
,32500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Bridesmaids,4,125,6.5,288383523
,40000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",Bridge of Spies,10,141,7.2,165478348
,60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Bridge to Terabithia,2,96,7,137587063
"{'id': 8936, 'name': 'Bridget Jones Collection', 'poster_path': '/fB3BE3TL85Wh7dxNJf226IYQCp.jpg', 'backdrop_path': '/jiS4x140miaEH524CAFTvuxrcZ1.jpg'}",50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Bridget Jones: The Edge of Reason,11,108,6.1,40203020
"{'id': 8936, 'name': 'Bridget Jones Collection', 'poster_path': '/fB3BE3TL85Wh7dxNJf226IYQCp.jpg', 'backdrop_path': '/jiS4x140miaEH524CAFTvuxrcZ1.jpg'}",35000000,"[{'id': 35, 'name': 'Comedy'}]",Bridget Jones's Baby,9,123,6.3,211952420
"{'id': 8936, 'name': 'Bridget Jones Collection', 'poster_path': '/fB3BE3TL85Wh7dxNJf226IYQCp.jpg', 'backdrop_path': '/jiS4x140miaEH524CAFTvuxrcZ1.jpg'}",25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Bridget Jones's Diary,4,97,6.6,281929795
,1000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Brigham City,3,119,7.3,852206
,8500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Bright Star,11,119,6.8,4440055
"{'id': 430186, 'name': 'Bring It On Collection', 'poster_path': '/iybFuFGBKPD8LXOgugjnA8sI6Bb.jpg', 'backdrop_path': '/ypR7RZO9hIAyd3lIx07gJ0AVvbB.jpg'}",28000000,"[{'id': 35, 'name': 'Comedy'}]",Bring It On,8,98,5.8,90449929
,20000000,"[{'id': 35, 'name': 'Comedy'}]",Bringing Down the House,3,105,5.4,132675402
,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Brokeback Mountain,9,134,7.5,178043761
,56000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Broken City,1,109,5.7,19701164
,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",Broken Flowers,5,105,6.8,45742101
,230000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",Bronson,10,92,6.9,2260712
,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Brooklyn,10,111,7.2,62076141
,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Brooklyn Rules,4,99,5.8,458232
,17000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Brooklyn's Finest,1,133,6.2,29536299
,26000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",Brothers,1,104,6.8,43318349
,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Brown Sugar,10,109,7,27362712
"{'id': 124949, 'name': 'Almighty Collection', 'poster_path': '/Abh0z1zf7yYoH8sGLvMIvdNG6gA.jpg', 'backdrop_path': '/qKuR7BpBLTcISNWgxKQmXnYYJFX.jpg'}",80000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",Bruce Almighty,5,101,6.4,484572835
,4000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Bug,5,102,6,8059140
,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Bullet to the Head,1,92,5.2,9489829
,1987650,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Buried,9,94,6.6,19152480
,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",Burke & Hare,10,91,6.1,4349187
,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Burlesque,11,119,6.9,89519773
,225000,"[{'id': 10769, 'name': 'Foreign'}, {'id': 99, 'name': 'Documentary'}]",Burn,11,86,7.1,111300
,37000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Burn After Reading,9,96,6.5,163720069
,20000000,"[{'id': 18, 'name': 'Drama'}]",Burnt,10,100,6.3,36606743
,11178,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Bwakaw,9,104,8,34659
,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",By the Sea,11,122,5.4,3727746
,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",Byzantium,9,118,6.1,89237
,7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",Ca$h,1,108,6,46488
"{'id': 201576, 'name': 'The Cabin Fever Collection', 'poster_path': '/u4SLX7S1SdBzaUzPpGWfRaEa1E1.jpg', 'backdrop_path': '/j82lEJUxFlXC35Pi75P3sAbkTUq.jpg'}",1500000,"[{'id': 27, 'name': 'Horror'}]",Cabin Fever,8,93,5.5,30553394
,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Cafê© Society,5,96,6.4,43763247
,7000000,"[{'id': 18, 'name': 'Drama'}]",Cake,9,102,6.2,2360281
,10000000,"[{'id': 35, 'name': 'Comedy'}]",Calendar Girls,9,108,6.6,96542059
,1000000,"[{'id': 18, 'name': 'Drama'}]",Camp X-Ray,10,117,6.7,59744
,20000000,"[{'id': 99, 'name': 'Documentary'}]",Capitalism: A Love Story,9,120,7,17436509
,7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Capote,9,114,6.9,49084830
"{'id': 131295, 'name': 'Captain America Collection', 'poster_path': '/2tOgiY533JSFp7OrVlkeRJvsZpI.jpg', 'backdrop_path': '/nZSYqitBkAvmoq5IrsGsSWuhSC8.jpg'}",250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",Captain America: Civil War,4,147,7.1,1153304495
"{'id': 131295, 'name': 'Captain America Collection', 'poster_path': '/2tOgiY533JSFp7OrVlkeRJvsZpI.jpg', 'backdrop_path': '/nZSYqitBkAvmoq5IrsGsSWuhSC8.jpg'}",140000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",Captain America: The First Avenger,7,124,6.6,370569774
"{'id': 131295, 'name': 'Captain America Collection', 'poster_path': '/2tOgiY533JSFp7OrVlkeRJvsZpI.jpg', 'backdrop_path': '/nZSYqitBkAvmoq5IrsGsSWuhSC8.jpg'}",170000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",Captain America: The Winter Soldier,3,136,7.6,714766572
,57000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",Captain Corelli's Mandolin,8,131,5.6,62112895
,5000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Captain Fantastic,7,119,7.9,5879736
,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Captain Phillips,10,134,7.6,95000000
,38000000,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Captain Underpants: The First Epic Movie,6,89,6.5,110824373
,11180,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Captive,9,120,5.9,24591
,2000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Captive,9,97,5.6,2801508
,17000000,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Captivity,3,96,4.4,2626800
,18000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]",Carlos,5,338,6.7,871279
,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Carnage,9,80,7,27603069
,11800000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Carol,11,118,7.3,40272135
,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",Carrie,10,100,5.8,82394288
"{'id': 87118, 'name': 'Cars Collection', 'poster_path': '/uq3N2SFj1Y06zA6LzCQPkmBdaaE.jpg', 'backdrop_path': '/yPyhZ5OpYs68Bb8u0PZ1tH0QIgd.jpg'}",120000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Cars,6,117,6.6,461983149
"{'id': 87118, 'name': 'Cars Collection', 'poster_path': '/uq3N2SFj1Y06zA6LzCQPkmBdaaE.jpg', 'backdrop_path': '/yPyhZ5OpYs68Bb8u0PZ1tH0QIgd.jpg'}",200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",Cars 2,6,106,5.8,559852396
"{'id': 87118, 'name': 'Cars Collection', 'poster_path': '/uq3N2SFj1Y06zA6LzCQPkmBdaaE.jpg', 'backdrop_path': '/yPyhZ5OpYs68Bb8u0PZ1tH0QIgd.jpg'}",175000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",Cars 3,6,109,6.6,350170057
,27000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Case 39,8,109,6.1,29000000
,12500000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Casino Jack,9,108,6,1083683
"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Casino Royale,11,144,7.3,599045960
,90000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",Cast Away,12,143,7.5,429632142
,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Catch and Release,10,111,5.8,16158487
,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Catch Me If You Can,12,141,7.7,352114312
,18000000,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",Catch That Kid,2,92,5,16702864
,30000,"[{'id': 99, 'name': 'Documentary'}]",Catfish,9,87,6.5,3045943
"{'id': 87014, 'name': 'Cats & Dogs Collection', 'poster_path': '/mm56m8wd2BBm94FwlelT2fNl6n1.jpg', 'backdrop_path': '/bYM1XFABSpy0QtAEzr7dks8QRWY.jpg'}",60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Cats & Dogs,7,87,5,93375151
"{'id': 87014, 'name': 'Cats & Dogs Collection', 'poster_path': '/mm56m8wd2BBm94FwlelT2fNl6n1.jpg', 'backdrop_path': '/bYM1XFABSpy0QtAEzr7dks8QRWY.jpg'}",85000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Cats & Dogs 2 : The Revenge of Kitty Galore,7,82,4.9,112483764
,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",Catwoman,7,104,4.2,82102379
,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",CBGB,10,101,6.5,40400
,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Cellular,9,94,6.1,56422687
"{'id': 246839, 'name': 'Center Stage Collection', 'poster_path': '/uQDnd1Ws2w62WTDsjOxLyOYoWqL.jpg', 'backdrop_path': '/iNDAKlYSc1TGB0EutAzw7OObGrt.jpg'}",18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",Center Stage,5,115,6.8,17200925
,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",Central Intelligence,6,107,6.2,216972543
,12000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",Centurion,2,97,6,6814789
,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Chalet Girl,2,96,6.4,1749457
,55000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",Changeling,1,141,7.3,113020255
,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Changing Lanes,4,89,5.9,94935764
,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",Chaos,1,106,6.1,10289
,49000000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",Chappie,3,120,6.6,104399548
,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Charlie and the Chocolate Factory,7,115,6.7,474968763
,44000000,"[{'id': 18, 'name': 'Drama'}]",Charlie St. Cloud,5,99,6.8,48190704
,75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Charlie Wilson's War,12,102,6.5,119000410
"{'id': 86029, 'name': ""Charlie's Angels Collection"", 'poster_path': '/jBKUntSuSUfxTXI8XWABpdWmWEt.jpg', 'backdrop_path': '/syWm5FMScW6JHaCM2C9aduCzUtp.jpg'}",92000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Charlie's Angels,11,98,5.6,264105545
"{'id': 86029, 'name': ""Charlie's Angels Collection"", 'poster_path': '/jBKUntSuSUfxTXI8XWABpdWmWEt.jpg', 'backdrop_path': '/syWm5FMScW6JHaCM2C9aduCzUtp.jpg'}",120000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",Charlie's Angels: Full Throttle,6,106,5.2,259175788
,85000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Charlotte's Web,12,97,5.8,144000000
,23000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Chasing Liberty,1,111,6.1,12
"{'id': 114783, 'name': 'Cheaper by the Dozen Collection', 'poster_path': '/zW1sw1d0XFT069g5LktF7R5eKhs.jpg', 'backdrop_path': '/abIbeEqOhnEEeEOjalyI16KlAbU.jpg'}",40000000,"[{'id': 35, 'name': 'Comedy'}]",Cheaper by the Dozen,12,98,6,190212113
"{'id': 114783, 'name': 'Cheaper by the Dozen Collection', 'poster_path': '/zW1sw1d0XFT069g5LktF7R5eKhs.jpg', 'backdrop_path': '/abIbeEqOhnEEeEOjalyI16KlAbU.jpg'}",60000000,"[{'id': 35, 'name': 'Comedy'}]",Cheaper by the Dozen 2,12,94,5.8,129181830
,11000000,"[{'id': 35, 'name': 'Comedy'}]",Chef,5,114,7.2,45967935
,23000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Chê©ri,2,86,5.9,9366227
,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",Chicago,12,113,6.9,306776732
,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",Chicken Little,11,81,5.6,314432665
,45000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Chicken Run,6,84,6.5,224834564
,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Child 44,3,137,6.1,3324330
,76000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",Children of Men,9,109,7.4,69959751
,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",CHiPS,3,100,6.2,26800152
,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Chloe,3,96,5.9,8459458
,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Chocolat,12,121,6.8,152500343
,3000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",Choke,9,92,6,3830137
,15000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Chronicle,2,84,6.6,145000000
,95000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",Cinderella,3,105,6.7,543514353
,88000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Cinderella Man,6,144,7.3,108539911
,40000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Cirque du Freak: The Vampire's Assistant,10,109,5.5,28169671
,500000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}]",Citizen,6,157,5.9,500000
,40000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",City By The Sea,9,108,5.7,22433915
,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",City Island,3,104,6.9,6670712
,55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",City of Ember,10,90,6.2,17869048
"{'id': 86780, 'name': 'Clash of the Titans Collection', 'poster_path': '/3TXIuCHr2m9oZcLJOc5qo9o5WsT.jpg', 'backdrop_path': '/vmE52XvE2yWWQFt4g1x17K070gY.jpg'}",125000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",Clash of the Titans,4,106,5.6,232713139
"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",5000000,"[{'id': 35, 'name': 'Comedy'}]",Clerks II,5,97,6.9,26888376
,82500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",Click,6,107,6,237681299
,26000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Clockstoppers,3,94,4.9,38793283
