belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
"{'id': 212562, 'name': 'Jump Street Collection', 'poster_path': '/vufY0iuDNXGEdYOgZNcJFAEZeak.jpg', 'backdrop_path': '/iiAbTNYXpMadPDH4MkjUoJzcGn4.jpg'}",50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",22 Jump Street,6,112,7,188441614
,15000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",25th Hour,12,135,7.2,13060843
,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",27 Dresses,1,111,6.1,160259319
"{'id': 1565, 'name': '28 Days/Weeks Later Collection', 'poster_path': '/4AeGz1Jwnq6ky2kfLT95Tm8nEiw.jpg', 'backdrop_path': '/bpn1vynevsKLwAMRikY1L6cb18p.jpg'}",5000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",28 Days Later,10,113,7.1,82719885
"{'id': 1565, 'name': '28 Days/Weeks Later Collection', 'poster_path': '/4AeGz1Jwnq6ky2kfLT95Tm8nEiw.jpg', 'backdrop_path': '/bpn1vynevsKLwAMRikY1L6cb18p.jpg'}",15000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",28 Weeks Later,4,100,6.5,64238440
,28000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3 Days to Kill,2,113,6,52597999
,5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",3 Generations,2,87,6.1,443962
,6000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3 Strikes,3,82,5.9,9000000
,55000000,"[{'id': 37, 'name': 'Western'}]",3:10 to Yuma,9,122,6.9,70016220
"{'id': 91660, 'name': '30 Days of Night Collection', 'poster_path': '/fRAZnIegztYTPsM9eGjSUusKUYM.jpg', 'backdrop_path': '/uKN4mENg8BVeKCxwWXGCvFeUim8.jpg'}",30000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",30 Days of Night,10,113,6.2,75505973
,28000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",30 Minutes or Less,8,83,5.6,40547440
"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",110000000,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]",300: Rise of an Empire,3,102,6.1,337580051
,62000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3000 Miles to Graceland,2,125,5.8,18720175
"{'id': 9744, 'name': 'Fantastic Four Collection', 'poster_path': '/prObnUSCHIBC8ZjkGo2KHgjkWOo.jpg', 'backdrop_path': '/3JFe9AWoKuQWox7HO8HKgYRMOF7.jpg'}",130000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",4: Rise of the Silver Surfer,6,92,5.4,289047763
,4600000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",4.3.2.1,6,117,5.9,1163967
,5500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 12, 'name': 'Adventure'}]",47 Meters Down,6,89,5.1,44235023
,175000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",47 Ronin,12,119,5.9,150962475
,20000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",5 Days of War,4,113,5.8,17479
,6000000,"[{'id': 18, 'name': 'Drama'}]",5 Flights Up,9,92,5.9,1020921
,75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",50 First Dates,2,99,6.6,196482882
,10000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",50 to 1,3,110,5.7,1064454
,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",50/50,9,100,7,39187783
,41000000,"[{'id': 18, 'name': 'Drama'}]",8 Mile,11,110,6.8,215000000
,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",88 Minutes,2,108,5.7,16930884
,1000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",9 Songs,7,66,5.1,1574623
,5000000,"[{'id': 18, 'name': 'Drama'}]",90 Minutes in Heaven,9,121,5.4,4842699
,8000000,"[{'id': 18, 'name': 'Drama'}]",99 Homes,10,112,6.8,1411927
,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",A Beautiful Mind,12,135,7.7,313542341
,10000000,"[{'id': 18, 'name': 'Drama'}]",A Better Life,6,98,7,1759252
,200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",A Christmas Carol,11,96,6.6,325233863
"{'id': 437451, 'name': 'Cinderella Story Collection', 'poster_path': '/65raP1FRJpPC5GVWVvemQ3kLAKG.jpg', 'backdrop_path': '/iVqkNuy2jpcurdk2ZH2iAexJTo6.jpg'}",19000000,"[{'id': 35, 'name': 'Comedy'}]",A Cinderella Story,7,95,6.1,70067909
,40000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",A Cure for Wellness,2,146,6,26559557
,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",A Dangerous Method,9,99,6.2,27462041
,15000000,"[{'id': 35, 'name': 'Comedy'}]",A Dirty Shame,9,89,5.4,1914166
,22000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",A Dog's Purpose,1,100,6.6,194647323
